nr_ambs,nr_emergencias,velocidade_amb,dist_amb_emer,prioridade_emergencia,tempo_de_resposta
7,10,14,27.294688127912362,8,4.8992411611303375
7,9,14,13.416407864998739,8,2.91662969499982
7,8,13,20.8806130178211,7,4.212402002741708
7,7,14,25.495097567963924,7,4.642156795423418
7,5,14,27.586228448267445,6,4.940889778323921
7,4,14,2.0,5,2.2857142857142856
7,4,13,12.529964086141668,5,3.9276867824833337
7,3,14,2.23606797749979,3,3.31943828249997
7,2,14,19.72308292331602,3,5.817583274759432
7,1,14,24.08318915758459,2,8.440455593940655
5,10,14,10.04987562112089,10,2.4356965173029845
5,9,14,35.608987629529715,9,6.086998232789959
5,7,14,21.0,9,4.0
5,6,14,20.024984394500787,7,3.8607120563572552
5,6,13,25.942243542145693,7,4.991114391099337
5,4,14,5.830951894845301,5,2.832993127835043
5,3,10,20.0,5,6.0
5,3,14,18.110770276274835,4,4.587252896610691
5,1,14,21.18962010041709,3,6.02708858577387
5,1,14,35.4682957019364,2,10.066899385990915
6,10,14,18.439088914585774,10,3.634155559226539
6,9,6,7.0710678118654755,10,3.3570226039551585
6,7,12,24.698178070456937,8,5.1163630117428225
6,7,14,18.439088914585774,6,3.634155559226539
6,6,12,28.0178514522438,5,6.6696419087073
6,4,14,6.324555320336759,5,2.9035079029052513
6,4,14,8.06225774829855,5,3.151751106899793
6,3,11,24.331050121192877,3,7.423827294762341
6,2,14,27.202941017470888,3,6.886134431067269
6,1,14,14.0,3,5.0
7,10,11,27.018512172212592,10,5.912456758584107
7,9,13,17.0,8,3.6153846153846154
7,8,11,19.924858845171276,7,4.622701608212959
7,7,11,12.165525060596439,6,3.2119136473811705
7,6,13,4.0,6,1.6153846153846154
7,5,13,20.0,5,5.076923076923077
7,4,11,30.528675044947494,3,8.550668189990454
7,3,13,8.48528137423857,2,6.305427903729011
7,2,11,28.792360097775937,2,10.234974563231988
7,1,11,27.85677655436824,2,10.064868464430589
8,10,10,21.02379604162864,10,5.2047592083257275
8,9,14,21.93171219946131,9,4.1331017427801875
8,7,8,20.12461179749811,7,6.031152949374527
8,7,14,25.0,5,5.571428571428571
8,6,14,22.20360331117452,4,5.171943330167789
8,5,14,2.0,4,2.2857142857142856
8,4,10,3.1622776601683795,4,2.632455532033676
8,3,14,25.079872407968907,2,8.58283891542413
8,2,14,15.231546211727817,2,7.175935173103974
8,1,12,25.495097567963924,1,14.249182927993989
9,10,14,8.06225774829855,9,2.151751106899793
