nr_ambulancias,nr_emergencias,distancia_total_media,tempo_medio_de_resposta,velocidade_media,media_de_gravidades
2,2,41.29288123823872,6.162575672521621,10.0,5.0
2,2,35.575490632671865,5.057549063267187,8.5,6.0
10,11,35.56644702424065,5.331472874141844,9.7,6.181818181818182
10,12,39.616195565283675,7.227054399230979,9.2,4.666666666666667
10,13,39.73938840594042,6.070127398922546,9.8,4.6923076923076925
10,14,51.31045240051104,8.721246734744122,7.8,5.285714285714286
10,15,32.44561741433218,6.393997093066628,9.4,4.6
10,16,47.238076087650064,6.8570367053661805,10.0,5.9375
10,17,40.20864271058342,6.183907828615786,9.0,5.764705882352941
10,18,43.649748332198925,6.923000440134408,9.1,5.944444444444445
10,19,39.13684764441085,6.571553420340451,10.3,5.315789473684211
10,20,42.559243822603676,5.648142195712357,10.9,5.95
10,9,39.55484959007849,6.990539319415009,10.1,4.888888888888889
10,8,47.10196342620161,7.733727497058381,10.9,4.875
10,7,41.871816586655356,6.644825470403611,11.0,4.571428571428571
10,10,49.98718180120009,5.745071333792771,10.4,4.8
5,1,26.68332812825267,4.425757102568424,8.8,5.0
5,2,68.00010221252406,6.7375650913688,9.0,7.5
5,3,59.889688441099565,7.769653129120262,8.8,6.666666666666667
5,4,27.17927822346538,6.043310269482879,8.0,7.25
5,5,56.166930202821845,9.923939045323204,12.4,2.6
5,6,36.121032387983064,4.311636426591199,8.8,7.0
5,7,49.23291503132548,5.537676924940435,10.2,6.428571428571429
5,8,33.72354841166269,5.154859352164152,9.8,7.125
5,9,46.215016636304,6.640489385539074,9.8,5.444444444444445
5,10,51.60576804662223,6.510960729463352,8.4,7.3
5,20,40.79851093795421,7.38166127246402,9.0,5.5
10,25,41.28459725990218,6.186088389855399,10.1,5.92
10,21,45.344887374796244,7.568086198335765,9.3,5.428571428571429
10,22,42.11791637283336,6.727811716337882,9.3,5.7727272727272725
10,23,41.93209411362258,6.045522239469563,9.9,5.6521739130434785
10,30,41.7013119527069,6.036354713269703,9.8,5.9
10,24,45.224262857183696,6.086237900642284,9.7,6.166666666666667
10,25,40.65332030160226,6.060963120542989,8.8,5.64
7,7,48.7178213648541,8.318431932445481,10.571428571428571,4.428571428571429
7,8,45.99138642220867,6.905664596069765,9.857142857142858,4.375
7,9,46.22116039268032,6.605097882251892,8.571428571428571,6.0
7,1,22.80350850198276,2.6288220358559116,11.714285714285714,8.0
7,2,64.09142711386056,7.402895842988997,8.714285714285714,3.5
7,3,42.606149089164845,9.043296363511775,10.0,2.0
7,4,41.497318010289966,5.8261743498562195,10.428571428571429,4.5
7,5,53.29912156269863,9.909079029733155,9.285714285714286,3.0
7,10,40.84348942058004,5.223777579715977,8.857142857142858,7.4
7,12,40.55466785688729,6.376966927913208,10.428571428571429,5.25
7,11,42.32298105178045,8.182256170497158,10.714285714285714,3.8181818181818183
7,13,37.81556932193907,7.017914580254769,8.142857142857142,4.6923076923076925
7,14,38.92270396857737,6.138405636206122,9.714285714285714,5.142857142857143
7,15,43.1010864734111,8.309670415557905,7.428571428571429,5.066666666666666
7,16,45.45771888608109,6.333136314758549,10.571428571428571,5.9375
7,17,38.636912503743964,6.119204279165241,10.142857142857142,4.882352941176471
7,20,35.609125433656146,6.755408454099253,9.714285714285714,4.95
1,1,57.723478758647246,7.772347875864725,10.0,4.0
1,2,42.49595766876168,4.863268878978335,11.0,7.5
1,3,31.533538410920013,5.294461534243334,12.0,5.0
1,4,40.05400272518297,4.337833560431914,12.0,6.75
1,5,30.424351412639556,5.146335916091365,7.0,4.8
1,6,16.734390269288664,3.289065044881444,6.0,6.833333333333333
2,1,46.69047011971501,4.890872509976251,11.5,8.0
2,2,65.45209436834247,9.24839438742853,10.5,4.5
2,3,30.43531794164163,4.536276495136803,9.0,5.0
2,4,39.30403484605097,5.617114982894552,7.0,7.5
2,5,57.25166746197873,6.80337494983454,11.0,5.6
2,6,38.8352443282814,4.069603694023449,11.0,7.166666666666667
3,1,26.90724809414742,2.9219462924391015,13.0,9.0
3,2,41.61932196097924,9.269143182986383,6.666666666666667,3.5
3,3,40.91354217722684,5.0813243173773195,11.333333333333334,5.333333333333333
3,4,37.579404596395236,5.152979321081735,9.666666666666666,5.75
3,5,35.911749892598195,4.849858861612707,10.333333333333334,4.4
3,6,57.72925292337289,9.054071718973868,7.0,7.0
4,1,23.40939982143925,2.9507833184532712,10.0,6.0
4,2,30.7960426021148,5.4217825113460885,8.5,4.5
4,3,50.10747113200606,9.344401139596302,10.75,2.3333333333333335
4,4,36.50708584187425,4.488792637118248,9.25,9.0
4,5,29.634151191714324,4.084509743034449,10.75,6.2
4,6,63.20724888287119,7.541056236414112,11.25,4.0
5,10,43.90752407520113,11.881504815040227,5.0,5.9
6,10,33.380530787780614,10.076106157556122,5.0,4.8
7,10,48.154192768976955,13.030838553795387,5.0,3.9
8,10,42.522126585744275,11.404425317148855,5.0,4.7
1,5,45.7794279426043,12.35588558852086,5.0,5.0
2,5,51.228438574785855,13.245687714957171,5.0,5.4
3,5,44.48061188567087,10.096122377134174,5.0,8.4
4,5,42.462045565648815,12.692409113129765,5.0,3.8
5,10,37.60524475853985,9.467540793089972,6.0,5.3
6,10,33.20946138034997,7.23491023005833,6.0,5.8
7,10,47.222653242834724,11.37044220713912,6.0,4.3
8,10,37.13489625844244,8.789149376407071,6.0,5.5
1,5,28.209322897311772,5.9015538162186285,6.0,7.0
2,5,46.83962564832594,10.806604274720991,6.0,5.0
3,5,47.80665101090687,9.96777516848448,6.0,6.0
4,5,44.29076883717578,10.181794806195963,6.0,5.4
5,10,37.42788105905736,7.44684015129391,7.0,6.5
6,10,43.03919070181666,10.748455814545236,7.0,4.7
